"fab_id","draft_duration","start_time","end_time","drafter","new_start_time","new_end_time","session_start_time","state","active_session","session_start_temp","intermediary","new_duration","session_duration","old_duration","test","display_end_time"
"12722","94","11/12/2024 1:29:57 PM","11/12/2024 3:03:57 PM","4","","","","","0","","","","94","94","","11/12/2024 3:03:57 PM"
"12723","37","11/12/2024 3:15:16 PM","11/12/2024 3:52:16 PM","6","","","","","0","","","","37","37","","11/12/2024 3:52:16 PM"
"13099","3","11/12/2024 4:14:13 PM","11/12/2024 4:17:13 PM","4","","","","","0","","","","3","3","","11/12/2024 4:17:13 PM"
"13101","5","11/12/2024 5:09:19 PM","11/12/2024 5:14:19 PM","6","","","","","0","","","","5","5","","11/12/2024 5:14:19 PM"
"13096","32","11/12/2024 5:14:48 PM","11/12/2024 5:46:48 PM","6","","","","","0","","","","32","32","","11/12/2024 5:46:48 PM"
"13015","18","11/12/2024 6:07:42 PM","11/12/2024 6:25:42 PM","4","","","","","0","","","","18","18","","11/12/2024 6:25:42 PM"
"12813","39","11/13/2024 11:47:14 AM","11/13/2024 12:26:14 PM","6","","","","","0","","","","39","39","","11/13/2024 12:26:14 PM"
"13074","7","11/13/2024 1:27:38 PM","11/13/2024 1:34:38 PM","4","","","","","0","","","","7","7","","11/13/2024 1:34:38 PM"
"13075","57","11/13/2024 1:36:54 PM","11/13/2024 2:33:54 PM","4","","","","","0","","","","57","57","","11/13/2024 2:33:54 PM"
"13076","21","11/13/2024 3:49:36 PM","11/13/2024 4:10:36 PM","4","","","","","0","","","","21","21","","11/13/2024 4:10:36 PM"
"13049","29","11/14/2024 8:49:22 AM","11/14/2024 9:18:22 AM","4","","","","","0","","","","29","29","","11/14/2024 9:18:22 AM"
"13102","29","11/14/2024 9:28:57 AM","11/14/2024 9:57:57 AM","4","","","","","0","","","","29","29","","11/14/2024 9:57:57 AM"
"13108","21","11/14/2024 11:15:55 AM","11/14/2024 11:36:55 AM","4","","","","","0","","","","21","21","","11/14/2024 11:36:55 AM"
"13109","19","11/14/2024 11:36:51 AM","11/14/2024 11:55:51 AM","4","","","","","0","","","","19","19","","11/14/2024 11:55:51 AM"
"12149","","11/15/2024 3:00:41 PM","","6","","","","","0","","","","0","","",""
"13118","34","11/19/2024 8:37:59 AM","11/19/2024 9:11:59 AM","4","","","","","0","","","","34","34","","11/19/2024 9:11:59 AM"
"13128","24","11/19/2024 9:43:29 AM","11/19/2024 10:07:29 AM","6","","","","","0","","","","24","24","","11/19/2024 10:07:29 AM"
"12897","65","11/21/2024 4:17:07 PM","11/21/2024 5:22:07 PM","6","","","","","0","","","","65","65","","11/21/2024 5:22:07 PM"
"12810","116","11/22/2024 9:01:01 AM","11/22/2024 10:57:01 AM","6","","","","","0","","","","116","116","","11/22/2024 10:57:01 AM"
"13274","22","12/31/2024 9:57:09 AM","12/31/2024 10:19:09 AM","6","","","","","0","","","","22","22","","12/31/2024 10:19:09 AM"
"13239","21","12/31/2024 10:19:37 AM","12/31/2024 10:40:37 AM","6","","","","","0","","","","21","21","","12/31/2024 10:40:37 AM"
"12816","","12/31/2024 10:21:49 AM","","6","","","","","0","","","","0","","",""
"13285","37","1/2/2025 7:08:32 AM","1/2/2025 7:45:32 AM","6","","","","","0","","","","37","37","","1/2/2025 7:45:32 AM"
"13287","25","1/2/2025 7:52:01 AM","1/2/2025 8:17:01 AM","12","","","","","0","","","","25","25","","1/2/2025 8:17:01 AM"
"13252","","1/2/2025 8:51:39 AM","","6","","","","","0","","","","0","","",""
"13272","","1/2/2025 9:12:02 AM","","6","","","","","0","","","","0","","",""
"13282","","1/3/2025 10:11:14 AM","","6","","","","","0","","","","0","","",""
"13322","206","1/6/2025 5:07:16 AM","1/6/2025 8:33:16 AM","6","","","","","0","","","","206","206","","1/6/2025 8:33:16 AM"
"13332","105","1/7/2025 6:44:01 AM","1/7/2025 8:29:01 AM","12","","","","","0","","","","105","105","","1/7/2025 8:29:01 AM"
